openTime,open,high,low,close,volume,trend,volume_price_ratio,BB_MA,BB_UPPER,BB_LOWER,RSI,DOJI,HAMMER,SHOOTING_STAR
2024-11-19 12:00:00,91652.01,92788.0,90975.8,92391.99,13823.63,1,0.1496,95694.52,100935.08,90453.96,26.08,0,0,0
2024-11-19 08:00:00,91620.0,91950.0,91200.0,91652.02,3730.95,1,0.0407,95334.03,100663.27,90004.79,25.56,1,0,0
2024-11-19 04:00:00,91428.0,92000.0,91238.09,91620.01,3893.8,1,0.0425,95002.75,100393.46,89612.04,28.06,0,0,0
2024-11-19 00:00:00,90464.07,91529.0,90357.0,91428.0,3575.27,1,0.0391,94618.69,99968.9,89268.48,18.53,0,0,0
2024-11-18 20:00:00,90608.26,91980.0,90224.02,90464.08,7596.77,-1,0.084,94211.31,99382.79,89039.83,18.71,1,0,0
2024-11-18 16:00:00,92309.51,92584.95,89667.66,90608.26,9954.8,-1,0.1099,93826.05,98744.3,88907.8,22.2,0,0,0
2024-11-18 12:00:00,90275.13,92594.0,89376.9,92309.51,12873.97,1,0.1395,93487.83,98060.32,88915.34,39.62,0,0,0
2024-11-18 08:00:00,91719.9,92211.99,90051.1,90275.13,6488.6,-1,0.0719,93145.22,97405.58,88884.86,33.48,0,0,0
2024-11-18 04:00:00,90668.58,92300.0,90438.85,91719.9,6378.66,1,0.0695,92877.5,96821.27,88933.73,37.39,0,0,0
2024-11-18 00:00:00,89855.98,90935.44,89617.96,90668.58,3252.23,1,0.0359,92513.14,95888.6,89137.68,38.14,0,0,0
2024-11-17 20:00:00,90044.0,90212.13,88722.0,89855.99,4734.42,-1,0.0527,92150.27,95093.56,89206.98,37.47,0,0,0
2024-11-17 16:00:00,90260.01,90640.18,89664.34,90044.0,3112.39,-1,0.0346,91893.71,94583.97,89203.45,41.19,0,0,0
2024-11-17 12:00:00,90684.19,91189.88,89925.91,90260.01,4166.81,-1,0.0462,91705.7,94232.37,89179.03,40.9,0,0,0
2024-11-17 08:00:00,90550.8,91449.99,90478.99,90684.19,3929.1,1,0.0433,91549.75,93858.39,89241.11,38.2,0,0,0
